Month,Month_Number,Courtyard_Area_m2,Potential_Harvest_L,Collected_Rainwater_L,Irrigation_Demand_L,Water_Supplied_L,Coverage_Pct,Overflow_L,Cost_Savings_EUR,Ending_Storage_L
January,1,33.169,1807.7,1248.1,0.0,0.0,100.0,0.0,0.0,6248.1
February,2,33.169,2438.6,1683.6,0.0,0.0,100.0,0.0,0.0,7931.7
March,3,33.169,1665.4,1149.8,0.0,0.0,100.0,0.0,0.0,9081.5
April,4,33.169,2245.3,1550.2,710.8,710.8,100.0,0.0,1.7,9920.9
May,5,33.169,2625.8,1812.9,1468.9,1468.9,100.0,607.9,3.52,9657.0
June,6,33.169,1678.2,1158.7,2132.3,2132.3,100.0,0.0,5.11,8683.3
July,7,33.169,1835.4,1267.2,2937.8,2937.8,100.0,0.0,7.04,7012.7
August,8,33.169,2014.9,1391.1,2937.8,2937.8,100.0,0.0,7.04,5466.0
September,9,33.169,1679.3,1159.4,1421.5,1421.5,100.0,0.0,3.41,5203.9
October,10,33.169,2017.6,1393.0,734.5,734.5,100.0,0.0,1.76,5862.4
November,11,33.169,2325.1,1605.3,0.0,0.0,100.0,0.0,0.0,7467.7
December,12,33.169,1456.6,1005.6,0.0,0.0,100.0,0.0,0.0,8473.3
